LONGITUDE,LATITUDE,LABEL,LAYER,SYMBOL,KML_STYLE
-80.502796,25.481572,20003,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,m_ylw-pushpin5
-80.1871488,25.832256,20004,SUE,2020 LONGITUDE PROJECTS_kmz_GMD4377_tmp_png_hs32x1_c00ff55ff@SCALE=1.1,msn_S40
-81.2377709,24.6780968,20005,Unknown Point Feature,2020 LONGITUDE PROJECTS_kmz_GMD4438_tmp_png_c00ff55aa@SCALE=1.2,msn_star15000
-80.2829432,25.713428,20006,Miscellaneous,2020 LONGITUDE PROJECTS_kmz_GMD4438_tmp_png_c00ff55aa@SCALE=1.2,msn_star15000
-80.3024869,25.6356735,20009,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B450
-80.3243971,25.7124935,20011,Construction stakeout,2020 LONGITUDE PROJECTS_kmz_GMD43F8_tmp_png_c00ffff00@SCALE=1.2,msn_square30
-80.2744181,25.3144518,20013,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B38
-80.398902,25.5222042,20014,Update Survey,2020 LONGITUDE PROJECTS_kmz_GMD43D8_tmp_png_hs32x1@SCALE=1.1,msn_purple-diamond60
-80.2717646,25.3194767,20016,Miscellaneous Surveying,2020 LONGITUDE PROJECTS_kmz_GMD4438_tmp_png_c00ff55aa@SCALE=1.2,msn_star250
-80.171251,25.6841345,20017,Boundary,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B360
-80.3986044,25.5728085,20018,Update Survey,2020 LONGITUDE PROJECTS_kmz_GMD43D8_tmp_png_hs32x1@SCALE=1.1,msn_purple-diamond50
-80.7021175,24.8726726,20019,Boundary,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B47
-80.7007467,24.8722607,20020,Boundary,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B47
-80.350364,25.7383658,20021,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B47
-80.3578438,25.9741575,20022,Miscellaneous,2020 LONGITUDE PROJECTS_kmz_GMD4438_tmp_png_c00ff55aa@SCALE=1.2,msn_star160
-80.4497577,25.6659386,20025,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B2600
-80.54188,25.4702144,20026,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B2600
-80.1902377,25.9176274,20027,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B2600
-80.2179848,25.8029793,20029,Update Survey,2020 LONGITUDE PROJECTS_kmz_GMD43D8_tmp_png_hs32x1@SCALE=1.1,msn_purple-diamond40
-80.2578836,25.6935933,20030,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD43D8_tmp_png_hs32x1@SCALE=1.1,msn_purple-diamond40
-80.2958531,25.3096566,20031,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B44
-80.3000559,25.7017119,20032,Miscellaneous,2020 LONGITUDE PROJECTS_kmz_GMD4438_tmp_png_c00ff55aa@SCALE=1.2,msn_star170
-80.4778437,25.5904455,20033,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B350
-80.4183687,25.5677056,20034,Update Survey,2020 LONGITUDE PROJECTS_kmz_GMD43D8_tmp_png_hs32x1@SCALE=1.1,msn_purple-diamond8
-80.317405,25.8826995,20035,Elevation Certificate,2020 LONGITUDE PROJECTS_kmz_GMD4357_tmp_png_hs32x1@SCALE=1.1,msn_E1500
-80.2105671,25.8815361,20036,Topographic Survey,2020 LONGITUDE PROJECTS_kmz_GMD4336_tmp_png_hs32x1@SCALE=1.1,msn_ylw-diamond130
-80.4572819,25.0790084,20038,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4336_tmp_png_hs32x1@SCALE=1.1,msn_ylw-diamond130
-80.2153214,25.7537328,20039,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B2500
-80.309713,25.7202571,20040,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B2500
-80.1962181,25.8379187,20041,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B2500
-80.2895189,25.3031858,20042,Miscellaneous,2020 LONGITUDE PROJECTS_kmz_GMD4438_tmp_png_c00ff55aa@SCALE=1.2,msn_star19
-80.1833024,25.8257991,20043,Boundary,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B3400
-80.3937769,25.529001,20045,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B3400
-80.4982344,25.4347772,20046,Elevation Certificate,2020 LONGITUDE PROJECTS_kmz_GMD4357_tmp_png_hs32x1@SCALE=1.1,msn_E160
-80.2831083,25.3188232,20047,Elevation Certificate,2020 LONGITUDE PROJECTS_kmz_GMD4357_tmp_png_hs32x1@SCALE=1.1,msn_E160
-80.4560796,25.0844515,20048,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B46
-80.2533109,25.7505735,20049,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B46
-80.2755572,25.3166729,20051,Elevation Certificate,2020 LONGITUDE PROJECTS_kmz_GMD4357_tmp_png_hs32x1@SCALE=1.1,msn_E170
-80.4755342,25.4755136,20052,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4357_tmp_png_hs32x1@SCALE=1.1,msn_E170
-80.3105631,25.6508094,20054,Miscellaneous,2020 LONGITUDE PROJECTS_kmz_GMD4438_tmp_png_c00ff55aa@SCALE=1.2,msn_star23
-80.2837174,25.3270302,20055,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B390
-80.3922137,25.1549839,20056,Update Survey,2020 LONGITUDE PROJECTS_kmz_GMD43D8_tmp_png_hs32x1@SCALE=1.1,msn_purple-diamond70
-80.3084776,25.9494521,20057,Boundary Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B4300
-80.385015,25.8268566,20058,Boundary and Topographic Survey,2020 LONGITUDE PROJECTS_kmz_GMD4316_tmp_png_hs32x1@SCALE=1.1,msn_B4300
-80.3363066,26.0427435,20059,Miscellaneous Surveying,2020 LONGITUDE PROJECTS_kmz_GMD4438_tmp_png_c00ff55aa@SCALE=1.2,msn_star180
-80.1369371,25.7916188,20061,Engineering Services,2020 LONGITUDE PROJECTS_kmz_GMD4438_tmp_png_c00ff55aa@SCALE=1.2,msn_star180
