LONGITUDE,LATITUDE,LABEL,LAYER,SYMBOL,KML_STYLE
-80.0331374,26.7786328,20459,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B106
-80.2845157,25.2954779,22001,Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,m_ylw-pushpin110
-80.4393728,25.5070156,22002,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,m_ylw-pushpin111
-80.1859612,25.9257872,22003,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,m_ylw-pushpin111
-80.4545756,25.4793501,22004,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,m_ylw-pushpin111
-80.3580332,25.5626071,22005,Elevation Certificate,2022 LONGITUDE PROYECTS_kmz_GMD3F03_tmp_png_hs32x1@SCALE=1.1,msn_E360
-80.2609401,25.3300839,22006,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B1050
-80.2852346,25.3175207,22008,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B1050
-80.2856365,25.3171913,22009,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B1050
-80.2713562,25.7198243,22010,Topographic,,
-80.2133777,26.3115037,22011,BOUNDARY,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B1060
-80.9131965,24.7660387,22012,Elevation Certificate,2022 LONGITUDE PROYECTS_kmz_GMD3F03_tmp_png_hs32x1@SCALE=1.1,msn_E380
-80.2881124,25.3145048,22013,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B9300
-80.2156479,25.8214289,22014,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B9300
-80.2911236,25.9200957,22015,ALTA Survey,2022 LONGITUDE PROYECTS_kmz_GMD3FB3_tmp_png@SCALE=1.2,msn_square150
-80.3202678,25.678053,22016,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B1070
-81.0799271,24.6948046,22017,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B1070
-80.2667882,25.7316119,22019,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B1070
-80.1783166,25.886915,22020,Topographic,,
-80.2600117,25.7021572,22021,As-Built,2022 LONGITUDE PROYECTS_kmz_GMD3FC4_tmp_png_c00ff55aa@SCALE=1.2,msn_star580
-80.2568915,25.7559813,22022,Topographic Survey,2022 LONGITUDE PROYECTS_kmz_GMD4004_tmp_png_hs32x1@SCALE=1.1,msn_ylw-diamond310
-80.1230575,25.9599612,22023,Boundary Analysis,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B980
-80.4362034,25.1039547,22024,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B980
-80.1658093,25.6959663,22026,Tree Survey,2022 LONGITUDE PROYECTS_kmz_GMD3F93_tmp_png_hs0_5x0@SCALE=1.2,msn_parks2
-80.2467551,25.8077127,22027,ASBUILT,2022 LONGITUDE PROYECTS_kmz_GMD3FC4_tmp_png_c00ff55aa@SCALE=1.2,msn_star590
-80.2907691,25.762532,22028,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B950
-80.2388298,25.7281481,22029,Boundary,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B950
-80.4627003,25.0692129,22030,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B950
-80.4503649,25.5158368,22031,Boundary,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B950
-80.5007414,25.5264403,22031,Boundary,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B950
-80.4690674,25.572194,22031,Boundary,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B950
-80.4691,25.571294,22031,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B950
-80.46913,25.57497,22031,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B950
-80.469123,25.574061,22031,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B950
-80.1593403,25.9732911,22033,Boundary,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B950
-80.1416524,25.7915305,22034,Boundary Survey,,
-80.2890614,25.2918704,22036,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B950
-80.4147616,25.6193623,22037,SUE,,
-80.2097401,25.8042204,22038,Boundary Survey,,
-80.3157975,25.8257113,22039,PDF survey,2022 LONGITUDE PROYECTS_kmz_GMD3FC4_tmp_png_c00ff55aa@SCALE=1.2,msn_star620
-80.1365619,25.8142994,22040,Boundary,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B970
-80.283316,25.3197048,22042,Elevation Certificate,2022 LONGITUDE PROYECTS_kmz_GMD3F03_tmp_png_hs32x1@SCALE=1.1,msn_E37
-80.3588931,25.5838558,22043,updated,2022 LONGITUDE PROYECTS_kmz_GMD3EE3_tmp_png_hs32x1@SCALE=1.1,msn_purple-diamond14
-80.2941562,25.6946249,22044,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B940
-80.1840874,25.7661072,22045,stakeout,2022 LONGITUDE PROYECTS_kmz_GMD3FC4_tmp_png_c00ff55aa@SCALE=1.2,msn_star5600
-80.3566928,25.7054147,22046,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B990
-80.1511125,25.8898144,22048,Purpose Survey,2022 LONGITUDE PROYECTS_kmz_GMD3FC4_tmp_png_c00ff55aa@SCALE=1.2,msn_star570
-80.2715133,25.7281932,22049,Update,,
-80.4690455,25.4623471,22051,SW 328 Street; SE 12 Avenue,,
-80.2876874,25.2957945,22052,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B116
-80.135845,25.8128093,22053,Topographic Survey,,
-80.1264076,25.8137189,22053,Topographic Survey,,
-80.3146688,25.7101443,22054,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD4004_tmp_png_hs32x1@SCALE=1.1,msn_ylw-diamond311
-80.2856599,25.2965582,22055,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B122
-80.3136375,25.6185446,22056,Topographic Survey,,
-80.2742522,25.8202793,22057,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B107
-80.2916393,25.291901,22058,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B107
-80.1573285,25.922882,22059,Topographic Survey,2022 LONGITUDE PROYECTS_kmz_GMD4004_tmp_png_hs32x1@SCALE=1.1,msn_ylw-diamond32
-80.1558724,26.0122351,22060,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B109
-80.2851221,25.3203999,22061,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B109
-80.208603,25.8037085,22062,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B109
-80.250385,25.851581,22063,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B109
-80.1491995,26.1224762,22064,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B109
-80.2803747,25.9289721,22065,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B109
-80.274566,25.9158514,22066,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B109
-80.1918837,25.8690914,22067,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B109
-81.024936,24.7315364,22068,performed,2022 LONGITUDE PROYECTS_kmz_GMD3FC4_tmp_png_c00ff55aa@SCALE=1.2,msn_star67
-80.2368681,25.9206072,22069,SUE,2022 LONGITUDE PROYECTS_kmz_GMD3F14_tmp_png_hs32x1_c00ff55ff@SCALE=1.1,msn_S11
-80.5048142,25.4459656,22070,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B108
-80.2829317,25.7635545,22071,Boundary Survey,2022 LONGITUDE PROYECTS_kmz_GMD3EB2_tmp_png_hs32x1@SCALE=1.1,msn_B108
-80.2060869,25.769441,22072,Elevation Certificate,2022 LONGITUDE PROYECTS_kmz_GMD3F03_tmp_png_hs32x1@SCALE=1.1,msn_E38
-64.9028362,18.3350256,22073,surveying services,,
